Method,LeadTimeMin,Aggregation,Metric,Threshold,Pool,Value
Baseline,5,global_count,POD,16,16,0.928036
Baseline,10,global_count,POD,16,16,0.893077
Baseline,15,global_count,POD,16,16,0.881005
Baseline,20,global_count,POD,16,16,0.875815
Baseline,25,global_count,POD,16,16,0.877617
Baseline,30,global_count,POD,16,16,0.877520
Baseline,35,global_count,POD,16,16,0.880303
Baseline,40,global_count,POD,16,16,0.885288
Baseline,45,global_count,POD,16,16,0.881992
Baseline,50,global_count,POD,16,16,0.881116
Baseline,55,global_count,POD,16,16,0.885610
Baseline,60,global_count,POD,16,16,0.885994
Baseline,5,batch_avg,POD,74,1,0.836881
Baseline,10,batch_avg,POD,74,1,0.764739
Baseline,15,batch_avg,POD,74,1,0.716737
Baseline,20,batch_avg,POD,74,1,0.664931
Baseline,25,batch_avg,POD,74,1,0.621729
Baseline,30,batch_avg,POD,74,1,0.574281
Baseline,35,batch_avg,POD,74,1,0.532444
Baseline,40,batch_avg,POD,74,1,0.500639
Baseline,45,batch_avg,POD,74,1,0.460874
Baseline,50,batch_avg,POD,74,1,0.426127
Baseline,55,batch_avg,POD,74,1,0.396082
Baseline,60,batch_avg,POD,74,1,0.367128
Baseline,5,global_count,POD,74,1,0.889470
Baseline,10,global_count,POD,74,1,0.847805
Baseline,15,global_count,POD,74,1,0.811309
Baseline,20,global_count,POD,74,1,0.767206
Baseline,25,global_count,POD,74,1,0.730060
Baseline,30,global_count,POD,74,1,0.686480
Baseline,35,global_count,POD,74,1,0.647142
Baseline,40,global_count,POD,74,1,0.612637
Baseline,45,global_count,POD,74,1,0.560552
Baseline,50,global_count,POD,74,1,0.526294
Baseline,55,global_count,POD,74,1,0.501343
Baseline,60,global_count,POD,74,1,0.469327
Baseline,5,batch_avg,POD,74,4,0.807689
Baseline,10,batch_avg,POD,74,4,0.726595
Baseline,15,batch_avg,POD,74,4,0.681884
Baseline,20,batch_avg,POD,74,4,0.640983
Baseline,25,batch_avg,POD,74,4,0.607581
Baseline,30,batch_avg,POD,74,4,0.570444
Baseline,35,batch_avg,POD,74,4,0.537510
Baseline,40,batch_avg,POD,74,4,0.513579
Baseline,45,batch_avg,POD,74,4,0.479740
Baseline,50,batch_avg,POD,74,4,0.449330
Baseline,55,batch_avg,POD,74,4,0.422412
Baseline,60,batch_avg,POD,74,4,0.395673
Baseline,5,global_count,POD,74,4,0.860949
Baseline,10,global_count,POD,74,4,0.804720
Baseline,15,global_count,POD,74,4,0.769886
Baseline,20,global_count,POD,74,4,0.735162
Baseline,25,global_count,POD,74,4,0.706615
Baseline,30,global_count,POD,74,4,0.672379
Baseline,35,global_count,POD,74,4,0.640848
Baseline,40,global_count,POD,74,4,0.614610
Baseline,45,global_count,POD,74,4,0.571287
Baseline,50,global_count,POD,74,4,0.541425
Baseline,55,global_count,POD,74,4,0.518274
Baseline,60,global_count,POD,74,4,0.489299
Baseline,5,batch_avg,POD,74,16,0.797858
Baseline,10,batch_avg,POD,74,16,0.696835
Baseline,15,batch_avg,POD,74,16,0.646817
Baseline,20,batch_avg,POD,74,16,0.610596
